seriesCode,iso2cd,year,value
SH_DYN_IMRT,vu,2018,23.9
SH_DYN_IMRT,nz,2018,4.7
SH_DYN_IMRT,nz,2018,5.2
SH_DYN_IMRT,nz,2018,4.2
SH_DYN_IMRT,ni,2018,15.7
SH_DYN_IMRT,ni,2018,13.8
SH_DYN_IMRT,ni,2018,17.5
SH_DYN_IMRT,ne,2018,48.0
SH_DYN_IMRT,ne,2018,43.5
SH_DYN_IMRT,ne,2018,52.1
SH_DYN_IMRT,ng,2018,68.5
SH_DYN_IMRT,ng,2018,82.6
SH_DYN_IMRT,ng,2018,75.7
SH_DYN_IMRT,nu,2018,20.3
SH_DYN_IMRT,nu,2018,22.5
SH_DYN_IMRT,nu,2018,18.0
SH_DYN_IMRT,no,2018,2.1
SH_DYN_IMRT,no,2018,2.2
SH_DYN_IMRT,no,2018,1.9
SH_DYN_IMRT,fm,2018,25.6
SH_DYN_IMRT,fm,2018,22.7
SH_DYN_IMRT,fm,2018,28.2
SH_DYN_IMRT,mh,2018,24.0
SH_DYN_IMRT,mh,2018,30.5
SH_DYN_IMRT,mh,2018,27.4
SH_DYN_IMRT,pw,2018,14.6
SH_DYN_IMRT,pw,2018,16.6
SH_DYN_IMRT,pw,2018,18.5
SH_DYN_IMRT,pk,2018,51.5
SH_DYN_IMRT,pk,2018,57.2
SH_DYN_IMRT,pk,2018,62.5
SH_DYN_IMRT,pa,2018,11.7
SH_DYN_IMRT,pa,2018,14.5
SH_DYN_IMRT,pa,2018,13.1
SH_DYN_IMRT,pg,2018,34.3
SH_DYN_IMRT,pg,2018,41.4
SH_DYN_IMRT,pg,2018,38.0
SH_DYN_IMRT,py,2018,17.2
SH_DYN_IMRT,py,2018,19.0
SH_DYN_IMRT,py,2018,15.4
SH_DYN_IMRT,pe,2018,10.0
SH_DYN_IMRT,pe,2018,11.1
SH_DYN_IMRT,pe,2018,12.2
SH_DYN_IMRT,ph,2018,25.0
SH_DYN_IMRT,ph,2018,22.5
SH_DYN_IMRT,ph,2018,19.8
SH_DYN_IMRT,pl,2018,4.1
SH_DYN_IMRT,pl,2018,3.4
SH_DYN_IMRT,pl,2018,3.8
